data_adi,data_detay,original_week_period,original_date_text,date
Tokat,149.2,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Trabzon,207.54,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Tunceli,29.96,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Uşak,17.32,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Van,13.92,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Yalova,74.62,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Yozgat,37.7,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Zonguldak,54.3,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Adana,63.0,06-12 Mart 2021,12 Mart 2021,2021-03-12
Adıyaman,154.63,06-12 Mart 2021,12 Mart 2021,2021-03-12
Afyon,47.5,06-12 Mart 2021,12 Mart 2021,2021-03-12
Ağrı,22.22,06-12 Mart 2021,12 Mart 2021,2021-03-12
Aksaray,173.52,06-12 Mart 2021,12 Mart 2021,2021-03-12
Amasya,163.64,06-12 Mart 2021,12 Mart 2021,2021-03-12
Ankara,68.53,06-12 Mart 2021,12 Mart 2021,2021-03-12
Antalya,95.16,06-12 Mart 2021,12 Mart 2021,2021-03-12
Ardahan,73.83,06-12 Mart 2021,12 Mart 2021,2021-03-12
Artvin,100.88,06-12 Mart 2021,12 Mart 2021,2021-03-12
Aydın,58.71,06-12 Mart 2021,12 Mart 2021,2021-03-12
Balıkesir,257.6,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bartın,62.82,06-12 Mart 2021,12 Mart 2021,2021-03-12
Batman,15.64,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bayburt,51.28,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bilecik,81.38,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bingöl,25.2,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bitlis,15.95,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bolu,65.76,06-12 Mart 2021,12 Mart 2021,2021-03-12
Burdur,86.49,06-12 Mart 2021,12 Mart 2021,2021-03-12
Bursa,78.47,06-12 Mart 2021,12 Mart 2021,2021-03-12
Çanakkale,149.76,06-12 Mart 2021,12 Mart 2021,2021-03-12
Çankırı,47.29,06-12 Mart 2021,12 Mart 2021,2021-03-12
Çorum,73.19,06-12 Mart 2021,12 Mart 2021,2021-03-12
Denizli,41.5,06-12 Mart 2021,12 Mart 2021,2021-03-12
Diyarbakır,17.83,06-12 Mart 2021,12 Mart 2021,2021-03-12
Düzce,81.63,06-12 Mart 2021,12 Mart 2021,2021-03-12
Edirne,200.36,06-12 Mart 2021,12 Mart 2021,2021-03-12
Elazığ,29.59,06-12 Mart 2021,12 Mart 2021,2021-03-12
Erzincan,53.75,06-12 Mart 2021,12 Mart 2021,2021-03-12
Erzurum,45.63,06-12 Mart 2021,12 Mart 2021,2021-03-12
Eskişehir,74.59,06-12 Mart 2021,12 Mart 2021,2021-03-12
Gaziantep,67.44,06-12 Mart 2021,12 Mart 2021,2021-03-12
Giresun,296.84,06-12 Mart 2021,12 Mart 2021,2021-03-12
Gümüşhane,137.61,06-12 Mart 2021,12 Mart 2021,2021-03-12
Hakkari,7.84,06-12 Mart 2021,12 Mart 2021,2021-03-12
Hatay,69.43,06-12 Mart 2021,12 Mart 2021,2021-03-12
Iğdır,80.97,06-12 Mart 2021,12 Mart 2021,2021-03-12
Isparta,61.09,06-12 Mart 2021,12 Mart 2021,2021-03-12
İstanbul,178.25,06-12 Mart 2021,12 Mart 2021,2021-03-12
İzmir,78.57,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kahramanmaraş,56.5,06-12 Mart 2021,12 Mart 2021,2021-03-12
Karabük,47.21,06-12 Mart 2021,12 Mart 2021,2021-03-12
Karaman,56.88,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kars,24.92,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kastamonu,118.23,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kayseri,142.95,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kırıkkale,88.27,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kırklareli,137.12,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kırşehir,47.73,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kilis,255.62,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kocaeli,138.39,06-12 Mart 2021,12 Mart 2021,2021-03-12
Konya,203.91,06-12 Mart 2021,12 Mart 2021,2021-03-12
Kütahya,85.14,06-12 Mart 2021,12 Mart 2021,2021-03-12
Malatya,92.66,06-12 Mart 2021,12 Mart 2021,2021-03-12
Manisa,50.12,06-12 Mart 2021,12 Mart 2021,2021-03-12
Mardin,17.32,06-12 Mart 2021,12 Mart 2021,2021-03-12
Mersin,96.75,06-12 Mart 2021,12 Mart 2021,2021-03-12
Muğla,80.24,06-12 Mart 2021,12 Mart 2021,2021-03-12
Muş,27.24,06-12 Mart 2021,12 Mart 2021,2021-03-12
Nevşehir,64.6,06-12 Mart 2021,12 Mart 2021,2021-03-12
Niğde,89.21,06-12 Mart 2021,12 Mart 2021,2021-03-12
Ordu,248.62,06-12 Mart 2021,12 Mart 2021,2021-03-12
Osmaniye,198.89,06-12 Mart 2021,12 Mart 2021,2021-03-12
Rize,188.18,06-12 Mart 2021,12 Mart 2021,2021-03-12
Sakarya,90.15,06-12 Mart 2021,12 Mart 2021,2021-03-12
Samsun,458.53,06-12 Mart 2021,12 Mart 2021,2021-03-12
Siirt,2.11,06-12 Mart 2021,12 Mart 2021,2021-03-12
Sinop,345.56,06-12 Mart 2021,12 Mart 2021,2021-03-12
Sivas,43.88,06-12 Mart 2021,12 Mart 2021,2021-03-12
Şanlıurfa,15.41,06-12 Mart 2021,12 Mart 2021,2021-03-12
Şırnak,4.46,06-12 Mart 2021,12 Mart 2021,2021-03-12
Tekirdağ,121.64,06-12 Mart 2021,12 Mart 2021,2021-03-12
Tokat,243.53,06-12 Mart 2021,12 Mart 2021,2021-03-12
